fecha,hora,prediccion_frio_kw
2021-07-01,,17741.548945659535
2021-07-02,,24308.63608361749
2021-07-03,,32588.35664682983
2021-07-04,,33279.00853554205
2021-07-05,,32061.88111278734
2021-07-06,,30639.73610494312
2021-07-07,,29777.93796018016
2021-07-08,,30114.192308339363
2021-07-09,,29825.302367265398
2021-07-10,,34006.385540737036
2021-07-11,,37251.50005122314
2021-07-12,,349511.05665870867
2021-07-14,,39190.691833955665
2021-07-15,,38942.861845228064
2021-07-16,,32584.287549650402
2021-07-17,,32859.16928912615
2021-07-18,,32318.0181832968
2021-07-19,,42813.9321006007
2021-07-20,,45310.65237982296
2021-07-21,,66955.04245384368
2021-07-22,,32732.901009624948
2021-07-23,,33163.4722599195
2021-07-24,,34556.36575344764
2021-07-25,,30896.227459664366
2021-07-26,,34204.2475473202
2021-07-27,,39095.37673414163
2021-07-28,,30450.685107486854
2021-07-29,,30865.36650410687
2021-07-30,,30138.237471520435
2021-07-31,,36940.577166439005
2021-08-01,,55649.753589006024
2021-08-02,,34773.491020377376
2021-08-03,,34498.07119015788
2021-08-04,,34003.11647740808
2021-08-05,,33329.59334572945
2021-08-06,,33434.94005465535
2021-08-07,,33042.87139262654
2021-08-08,,31167.631255193566
2021-08-09,,30450.343577145337
2021-08-10,,32247.457782571983
2021-08-11,,33105.56790088261
2021-08-12,,31155.290831313025
2021-08-13,,30612.821688640444
2021-08-14,,32378.933219664505
2021-08-15,,32500.35768998223
2021-08-16,,31102.464984726503
2021-08-17,,30349.827701722228
2021-08-18,,34492.76685674653
2021-08-19,,32457.78708537661
2021-08-20,,32796.82759487517
2021-08-21,,32192.196689018016
2021-08-22,,32010.64073251494
2021-08-23,,36829.64171859717
2021-08-24,,238377.09924380525
2021-08-25,,34260.54643032513
2021-08-26,,32925.00843096212
2021-08-27,,33766.0244428691
2021-08-28,,34235.341272276004
2021-09-01,,33045.32331850978
2021-09-02,,32554.238598200987
2021-09-03,,32970.15733661641
2021-09-04,,31560.07486903043
2021-09-05,,28743.99956511668
2021-09-06,,30515.507409656653
2021-09-07,,32746.013737575282
2021-09-08,,33250.71911962155
2021-09-09,,26061.737767930077
2021-09-10,,26948.386211683985
2021-09-11,,30814.834013343887
2021-09-12,,27349.22269793377
2021-09-13,,27454.530263951492
2021-09-14,,30292.290807775964
2021-09-15,,27975.157918279227
2021-09-16,,28819.779703567787
2021-09-17,,101991.49088246774
2021-09-18,,28097.113313241924
2021-09-19,,26414.215607709422
2021-09-20,,28699.049932619844
2021-09-21,,29274.751937554378
2021-09-22,,29624.633635098508
2021-09-23,,28513.986296016534
2021-09-24,,32951.30752547515
2021-09-25,,50365.96506795464
2021-09-26,,27030.405630995636
2021-09-27,,27095.73900012673
2021-09-28,,28603.260904579336
2021-09-29,,27283.50315343171
2021-09-30,,22620.196581266646
2021-10-01,,23163.45916666569
2021-10-02,,25352.46009295165
2021-10-03,,24809.734062202097
2021-10-04,,26959.407368115222
2021-10-05,,27802.86872548609
2021-10-06,,27825.790529150352
2021-10-07,,27396.906252352055
2021-10-08,,26361.103125713063
2021-10-09,,24194.48158272898
2021-10-10,,26541.18277878997
2021-10-11,,29065.48866963444
2021-10-12,,27546.64971407652
2021-10-13,,25827.123530012945
2021-10-14,,27111.766870830048
2021-10-15,,26915.985015873383
2021-10-16,,25455.42043855278
2021-10-17,,25992.279528662184
2021-10-18,,24411.244820536736
2021-10-19,,24343.822747906655
2021-10-20,,25392.054546618685
2021-10-21,,28456.555500012586
2021-10-22,,26406.246190069967
2021-10-23,,25271.361073548425
2021-10-24,,25826.34233613292
2021-10-25,,27646.310519594426
2021-10-26,,27387.31228671397
2021-10-27,,24372.164022456225
2021-10-28,,17278.001348402275
2021-10-29,,12417.85490465976
2021-10-30,,11785.17381698652
2021-11-01,,11754.51093501314
2021-11-02,,12754.643213369052
2021-11-03,,14814.266816728685
2021-11-04,,16062.679694075736
2021-11-05,,21307.89410238756
2021-11-06,,21295.908764999247
2021-11-07,,21453.305050097126
2021-11-08,,20557.38673063466
2021-11-09,,17837.030696055648
2021-11-10,,14271.17968390927
2021-11-11,,13086.978102296904
2021-11-12,,15097.18056505734
2021-11-13,,23158.265758162135
2021-11-14,,21303.26407143361
2021-11-15,,16247.066881264398
2021-11-16,,17295.532831162982
2021-11-17,,16215.446908836027
2021-11-18,,14734.533929934547
2021-11-19,,16403.529465914136
2021-11-20,,18039.351991569605
2021-11-21,,20654.537552906633
2021-11-22,,23204.195825466373
2021-11-23,,22737.971357556078
2021-11-24,,17927.917147346754
2021-11-25,,15912.076676451281
2021-11-26,,18344.887610491587
2021-11-27,,22012.08176628913
2021-11-28,,21111.48916867447
2021-11-29,,15525.675706269514
2021-11-30,,14022.478412041659
2021-12-01,,12029.328772569686
2021-12-02,,12450.447093276798
2021-12-03,,13874.464475699753
2021-12-04,,12358.653682488832
2021-12-05,,11984.250314604054
2021-12-06,,13394.343228591972
2021-12-07,,14753.69922174735
2021-12-08,,13829.212550464215
2021-12-09,,14247.370833434254
2021-12-10,,14035.802758178785
2021-12-11,,12178.162442411063
2021-12-12,,10095.575238790327
2021-12-13,,10768.362237425317
2021-12-14,,14632.89177625139
2021-12-15,,16117.932553893519
2021-12-16,,13733.651533910046
2021-12-17,,11113.825069498753
2021-12-18,,11077.332172748977
2021-12-19,,10901.366191853907
2021-12-20,,10556.98026226622
2021-12-21,,10193.350987526268
2021-12-22,,10393.634970193078
2021-12-23,,38106.38136313296
2021-12-24,,38557.33318218156
2021-12-25,,38041.50810837922
2021-12-26,,11666.29460549573
2021-12-27,,11529.587902509997
2021-12-28,,7281.982843947356
2021-12-29,,6158.559385898669
2021-12-30,,5978.294699004553
2022-01-01,,5958.391251334408
2022-01-02,,7526.08514364926
