Mes / Año,Año + Mes,Agua Planta,EE Planta,ET Planta,Aire Planta,Unnamed: 6,Meta Agua Elab,Meta Agua Bodega,Meta Agua Cocina,Meta Agua Envas,Meta Agua Linea 2,Meta Agua Linea 3,Meta Agua Linea 4,Meta Agua Linea 5,Meta Agua Servicios,Meta Agua Planta de Agua,Meta Produccion Agua,Unnamed: 18,Meta EE Elaboracion,Meta EE Bodega,Meta EE Cocina,Meta EE Envasado,Meta EE Linea 2,Meta EE Linea 3,Meta EE Linea 4,Meta EE Linea 5,Meta EE Servicios,Meta EE Sala Maq,Meta EE Frio,Meta EE Aire,Meta EE CO2,Meta EE Caldera,Meta EE Eflu,Meta EE Agua ,Meta EE Resto Serv,Meta EE Resto Planta,Unnamed: 37,Meta ET Elab,Meta ET Bodega,Meta ET Cocina,Meta ET Envasado,Meta ET Linea 2,Meta ET Linea 3,Meta ET Linea 4,Meta ET Linea 5,Meta ET Servicios,Unnamed: 47,Meta Aire Elaboracion,Meta Aire Cocina,Meta Aire Bodega,Meta Aire Envasado,Meta Aire L2,Meta Aire L3,Meta Aire L4,Meta Aire L5,Meta Aire Servicios
2021-11-01,202111,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2021-12-01,202112,3.5,7.0,66.0,6.2,,1.83,0.8,1.4,1.08,2.1,1.4,0.5,1.5,0.56,15.0,85,,0.85,0.55,0.3,1.83,2.6,1.7,1.6,1.7,4.16,4.3,2.7,0.6,0.25,0.1,0.1,0.1,0.45,0.19,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.5,0.5,1.5,1.5,2.5,1.5,0.6,3.0,1.2
2022-01-01,202201,3.4,6.9,58.0,6.111428571,,1.777714286,0.7771428571,1.36,1.049142857,2.04,1.36,0.4857142857,1.457142857,0.544,14.57142857,85,,0.85,0.5421428571,0.2957142857,1.803857143,2.562857143,1.675714286,1.577142857,1.675714286,4.100571429,4.238571429,2.661428571,0.5914285714,0.2464285714,0.09857142857,0.09857142857,0.09857142857,0.4435714286,0.1872857143,,20.3,0.8787878788,7.909090909,34.18484848,17.57575758,13.18181818,5.712121212,8.787878788,3.427272727,,3.45,0.4928571429,1.478571429,1.478571429,2.464285714,1.478571429,0.5914285714,2.957142857,1.182857143
2022-02-01,202202,3.3,6.8,59.0,6.022857143,,1.725428571,0.7542857143,1.32,1.018285714,1.98,1.32,0.4714285714,1.414285714,0.528,14.14285714,85,,0.8257142857,0.5342857143,0.2914285714,1.777714286,2.525714286,1.651428571,1.554285714,1.651428571,4.041142857,4.177142857,2.622857143,0.5828571429,0.2428571429,0.09714285714,0.09714285714,0.09714285714,0.4371428571,0.1845714286,,20.65,0.8939393939,8.045454545,34.77424242,17.87878788,13.40909091,5.810606061,8.939393939,3.486363636,,3.4,0.4857142857,1.457142857,1.457142857,2.428571429,1.457142857,0.5828571429,2.914285714,1.165714286
2022-03-01,202203,3.3,6.8,60.0,6.022857143,,1.725428571,0.7542857143,1.32,1.018285714,1.98,1.32,0.4714285714,1.414285714,0.528,14.14285714,85,,0.8257142857,0.5342857143,0.2914285714,1.777714286,2.525714286,1.651428571,1.554285714,1.651428571,4.041142857,4.177142857,2.622857143,0.5828571429,0.2428571429,0.09714285714,0.09714285714,0.09714285714,0.4371428571,0.1845714286,,21.0,0.9090909091,8.181818182,35.36363636,18.18181818,13.63636364,5.909090909,9.090909091,3.545454545,,3.4,0.4857142857,1.457142857,1.457142857,2.428571429,1.457142857,0.5828571429,2.914285714,1.165714286
2022-04-01,202204,3.3,6.7,60.0,5.934285714,,1.725428571,0.7542857143,1.32,1.018285714,1.98,1.32,0.4714285714,1.414285714,0.528,14.14285714,85,,0.8135714286,0.5264285714,0.2871428571,1.751571429,2.488571429,1.627142857,1.531428571,1.627142857,3.981714286,4.115714286,2.584285714,0.5742857143,0.2392857143,0.09571428571,0.09571428571,0.09571428571,0.4307142857,0.1818571429,,21.0,0.9090909091,8.181818182,35.36363636,18.18181818,13.63636364,5.909090909,9.090909091,3.545454545,,3.35,0.4785714286,1.435714286,1.435714286,2.392857143,1.435714286,0.5742857143,2.871428571,1.148571429
2022-05-01,202205,3.4,6.6,68.0,5.845714286,,1.777714286,0.7771428571,1.36,1.049142857,2.04,1.36,0.4857142857,1.457142857,0.544,14.57142857,85,,0.8014285714,0.5185714286,0.2828571429,1.725428571,2.451428571,1.602857143,1.508571429,1.602857143,3.922285714,4.054285714,2.545714286,0.5657142857,0.2357142857,0.09428571429,0.09428571429,0.09428571429,0.4242857143,0.1791428571,,23.8,1.03030303,9.272727273,40.07878788,20.60606061,15.45454545,6.696969697,10.3030303,4.018181818,,3.3,0.4714285714,1.414285714,1.414285714,2.357142857,1.414285714,0.5657142857,2.828571429,1.131428571
2022-06-01,202206,3.7,7.8,84.0,6.908571429,,1.934571429,0.8457142857,1.48,1.141714286,2.22,1.48,0.5285714286,1.585714286,0.592,15.85714286,85,,0.9471428571,0.6128571429,0.3342857143,2.039142857,2.897142857,1.894285714,1.782857143,1.894285714,4.635428571,4.791428571,3.008571429,0.6685714286,0.2785714286,0.1114285714,0.1114285714,0.1114285714,0.5014285714,0.2117142857,,29.4,1.272727273,11.45454545,49.50909091,25.45454545,19.09090909,8.272727273,12.72727273,4.963636364,,3.9,0.5571428571,1.671428571,1.671428571,2.785714286,1.671428571,0.6685714286,3.342857143,1.337142857
2022-07-01,202207,3.7,7.8,84.0,6.908571429,,1.934571429,0.8457142857,1.48,1.141714286,2.22,1.48,0.5285714286,1.585714286,0.592,15.85714286,85,,0.9471428571,0.6128571429,0.3342857143,2.039142857,2.897142857,1.894285714,1.782857143,1.894285714,4.635428571,4.791428571,3.008571429,0.6685714286,0.2785714286,0.1114285714,0.1114285714,0.1114285714,0.5014285714,0.2117142857,,29.4,1.272727273,11.45454545,49.50909091,25.45454545,19.09090909,8.272727273,12.72727273,4.963636364,,3.9,0.5571428571,1.671428571,1.671428571,2.785714286,1.671428571,0.6685714286,3.342857143,1.337142857
2022-08-01,202208,3.4,6.5,66.0,5.757142857,,1.777714286,0.7771428571,1.36,1.049142857,2.04,1.36,0.4857142857,1.457142857,0.544,14.57142857,85,,0.7892857143,0.5107142857,0.2785714286,1.699285714,2.414285714,1.578571429,1.485714286,1.578571429,3.862857143,3.992857143,2.507142857,0.5571428571,0.2321428571,0.09285714286,0.09285714286,0.09285714286,0.4178571429,0.1764285714,,23.1,1.0,9.0,38.9,20.0,15.0,6.5,10.0,3.9,,3.25,0.4642857143,1.392857143,1.392857143,2.321428571,1.392857143,0.5571428571,2.785714286,1.114285714
